iteration,low,mid,high,error
1,0.5,2.0,3.5,2.0
2,0.5,1.25,2.0,0.4375
3,1.25,1.625,2.0,0.640625
4,1.25,1.4375,1.625,0.06640625
5,1.25,1.34375,1.4375,0.1943359375
6,1.34375,1.390625,1.4375,0.066162109375
7,1.390625,1.4140625,1.4375,0.00042724609375
8,1.4140625,1.42578125,1.4375,0.0328521728515625
9,1.4140625,1.419921875,1.42578125,0.016178131103515625
10,1.4140625,1.4169921875,1.419921875,0.007866859436035156
11,1.4140625,1.41552734375,1.4169921875,0.003717660903930664
12,1.4140625,1.414794921875,1.41552734375,0.0016446709632873535
13,1.4140625,1.4144287109375,1.414794921875,0.0006085783243179321
14,1.4140625,1.41424560546875,1.4144287109375,0.00009063258767127991
15,1.4140625,1.414154052734375,1.41424560546875,0.00016831513494253159
16,1.414154052734375,1.4141998291015625,1.41424560546875,0.000038843369111418724
17,1.4141998291015625,1.4142227172851562,1.41424560546875,0.00002589408541098237
